#,Name,Address,Atoll,Island,District,Rooms,Beds,Phone,Fax,Email,Website,Operator,Owner/Lesse
439,Merijaan Maldives,"Sweet Garden, Finihiyaa Goalhi",Kaafu,Maafushi,,,,9799997,,merijaanmaldives@gmail.com,,"Merijaan Maldives (P)
Ma. Marujaanuge, Ground Floor
Male’, Republic of Maldives","Aminath Mashroora 
Sweet Mead
Maafushi, Kaafu Atoll
Republic of Maldives"
440,Met House,Mauzan,Kaafu,Thulusdhoo,,5,10,9807987 / 7852258,,methousemaldives@outlook.com,,"Delavega Pvt Ltd
Dhongaa
K. Thulusdhoo
Republic of Madives","Zulaikha Moosa 
Mauzan
K. Thulusdhoo
Republic of Maldives"
441,Mi Lugar Retreat and Spa,1. Akaysia 2. Basma 3. Moorithi 4. Beach House 5. Beach View 6. Jooin 7. Hathihaa,Haa Dhaalu,Nolhivaranfaru,,8,16,7771150,,madhy@printlab.com.mv,,"Mi Lugar Maldives Pvt Ltd 
G. Aima 
Male', Republic of Maldives","1.Akaysia:  
Fathimath Firasha 
Chaandhaneege 
Nolhivaranfaru, Haa Dhaalu Atoll
Republic of Maldives 

2.Basma:
Mohamed Mifzal 
Vaijeheyge 
Nolhivaranfaru, Haa Dhaalu Atoll
Republic of Maldives 

3.Moorithi:
Mohamed Anwar 
Sosun Villa 
Nolhivaranfaru, Haa Dhaalu Atoll
Republic of Maldives 

4.Beach House:
Maumoona Ahmed 
Dheyliyaage 
Nolhivaranfaru, Haa Dhaalu Atoll 
Republic of Maldives
 
5.Beach View:
Mohamed Ali 
Shehenaazu
Nolhivaranfaru, Haa Dhaalu Atoll 
Republic of Maldives

6.Jooin:
Mariyam Joomiya 
Dhoadhi 
Nolhivaranfaru, Haa Dhaalu Atoll
Republic of Maldives  

7. Hathihaa:
Suvaida Abdul Ganee 
Sosun Villa
Nolhivaranfaru, Haa Dhaalu Atoll
Republic of Maldives"
442,Midsummer Thulusdhoo,Rangali,Kaafu,Thulusdhoo,,4,8,7325216,,m.shifau252@gmail.com,,"Midsummer Travels Pvt Ltd 
M. Vaarutha, 1st Floor 
Boduthakurufaanu Magu
Male', Republic of Maldives","Hawwa Ibrahim 
Rangali,
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
443,Millenium Island Residence,Millennium,Gnaviyani,Fuvahmulah,,9,18,"6862000
7771603",,info@milleniumisland.com,www.milleniumisland.com,"Southern Sky Pvt Ltd  
Oceanway 
Fuvahmulah, Gnaviyani Atoll 
Republic of Maldives","Faisal Naseem 
Funaadu, Noodalhee
Fuvahmulah, Gnaviyani Atoll 
Republic  of Maldives"
444,Mirian Sky,Aroma,Kaafu,Gaafaru,,8,16,7794749,,miran191@yaahoo.com,,"Lycopus Maldives Pvt Ltd
Aroma
K. Gaafaru
Republic of Maldives","Mohamed Naeem
Aroma
K. Gaafaru
Republic of Maldives"
445,MO Guesthouses,"Fan
Reeko Star",Laamu,Gan,,30,60,"6800034
3330788",,mo-hotel-laamu@heavylipad.com.mv,,"Heavy Load Maldives 
M. Gulhazaaruge
Male', Republic of Maldives","1. Nafiza Ibrahim 
Fareedhee Manzil
Hoarafushi, Haa Alifu Atoll
2. Moosa Manik 
M. Gulhazaaruge
Male', Republic of Maldives"
446,Molar Wave,Maahiyaa,Kaafu,Himmafushi,,6,12,9923407,,rdnixam@gmail.com,,"""Real Deal Investment
Nizar Faheem 
Dhaftharu No. RS 5162
Male', Republic of Maldives""","""Mohame Umar 
Vidhuvaruge
Himmafushi, Kaaru Atoll
Republic of Maldives"""
447,Moodhu Guest House,Thuniya,Kaafu,Himmafushi,,4,8,7925263,,hello@moodhumaldives.com,,"Moodhu Guest House (SP)
Ali Habeel Imthiyaz 
Thuniya
Himmafushi, Kaafu Atoll
Republic of Maldives","Aminath Muna
Thuniya
Himmafushi, Kaafu Atoll
Republic of Maldives"
448,Moodhu Surf House,Thuniya,Kaafu,Himmafushi,,4,8,"7775263
7825263",,hello@moodhusurfhouse.com,www.moodhusurf.com,"Mohamed Imthiyaz 
Thuniya
K. Himmafusi
Republic of Maldives","Aminath Muna 
Thuniya
K. Himmafushi
Republic of Maldives"
449,Moodhumaa Inn,Never Land,Kaafu,Guraidhoo,,3,6,7941127,,moodhumaainn@gmail.com,www.moodhumaainn.com,"Abdul Latheef Ahmed 
Venus Light, Orchid Magu
Guraidhoo, Kaafu Atoll
Republic of Maldives","Abdul Latheef Ahmed 
Venus Light, Orchid Magu
Guraidhoo, Kaafu Atoll
Republic of Maldives"
450,Moonshell Residence,"Hedheykuri, Hiyfaseyha Magu",Baa,Maalhos,,5,10,7994931,,sales@opulencemaldives.com,,"Opulence Maldives Pvt Ltd 
M. Ever Cold
Iskandharu Magu
Male', Republic of Maldives","Khalid Waheed 
Bahaaruge
Maalhos, Baa Atoll
Republic of Maldives"
451,Muladdu Inn,Aaburuzeege,Seenu,Feydhoo,,4,8,7777288,,bookings@muladdu.com,http://www.muladdu.com/,"Muladdu Engineering & Maintenance Services (SP)
Hassan Nazil 
Aaburuzeege
Feydhoo, Seenu Atoll
Republic of Maldives","Legal Heirs of late Hussain Ali Manikufaanu 
Aaburuzeege
Feydhoo, Seenu Atoll
Republic of Maldives"
452,Muli Inn Surf View,"""Fehige Muli, Meemu Atoll Male', Republic of Maldives""",Meemu,Muli,,5,10,7917871,,muliinn@live.com,,"Hassan Sobah
Star Lodge
Muli, Meemu Atoll
Male', Republic of Maldives","Adam Rashad 
Dhaftharu No. RS 8384
Male', Republic of Maldives"
453,Muraka Inn,Kandholhu,Kaafu,Gulhi,,8,16,7789993,,sales@hotelmuraka.com,,"Hotel Muraka Maldives Pvt Ltd 
M. Udhuhey Villa
Male', Republic of Maldives","Fathimath Nafeesa 
West House
K. Gulhi
Republic of Maldives"
454,My House Maldives,Velimala,Haa Alifu,Vashafaru,,6,12,9937766,,info@myhousemaldives.com,,"Abdul Gafoor Ali 
Daisymaage
Feydhoo, Seenu Atoll
Repulblic of Maldives","Abdul Gafoor Ali 
Daisymaage
Feydhoo, Seenu Atoll
Repulblic of Maldives"
455,Mystic Maldives,"Binaa
Husnuheenaa Magu",Alifu Alifu,Mathiveri,,5,10,7781434,,mysticmaldives@gmail.com,www.mysticmaldives.com,"Aishath Hana 
H. Rankokaa
Abadhahfehi Magu
Male', Republic of Maldives","Moosa Ali 
Hazeleen
Mathiveri, Alifu Alifu Atoll
Republic of Maldives"
456,Naalees Inn,Naalees,Raa,Hulhudhuffaaru,,3,6,7785709,,zoona.naalees@gmail.com,,"Zoona Mohamed
Naares
Hulhudhuffaaru, Raa Atoll
Republic of Maldives","Zoona Mohamed 
Naares
Hulhudhuffaaru, Raa Atoll
Republic of Maldives"
457,Nala Island Village,Snow White,Kaafu,Maafushi,,10,20,7977702,,nalaislandvillage@gmail.com,,"The Squaircle Pvt Ltd 
Neel
Bahaaree Hingun 
Maafushi, Kaafu Atoll
Republic of Maldives","Abdul Haadhee Ali 
Dhaftharu No. 3305
Male', Republic of Maldives 

Abdul Samad Ali 
Giriteege, 
Ihavandhoo, Haa Alifu Atoll
Republic of Maldives"
458,Nala Veli Beach Villa,"Silver Grass, Orchid Magu",Alifu Alifu,Ukulhas,,17,34,9120088,,info@nalaveli-villa.com,http://www.nalavelimaldives.com/,"Hamsy Investment (SP)
Ahmed Rasheed 
H. Dhiyadhoo
Male', Republic of Maldives","Naeema Hassan 
Neptune
Ukulhas, Alifu Alifu Atoll
Republic of Maldives"
459,Nala Veli Villa,Sunlight,Alifu Alifu,Ukulhas,,6,12,"9599299
7772440",3313080,info@nalaveli-villa.com,www.nalaveli-villa.com,"Hamsy Investment 
Ahmed Rasheed 
H. Dhiyadhoo
Male', Republic of Maldives","Fathimath Waheedha 
Fusvilaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldives"
460,Narnia Maafushi,"Comrade Villa, Rahvashaa Higun",Kaafu,Maafushi,,4,8,7782176,,sharyf1969@gmail.com,,"Fahi Beach Spa Maldives (P)
M. Rihaab, 02nd Floor
Muniyaa Magu
Male', Republic of Maldives","Siyana Ali
Comrade Villa
Maafushi, Kaafu Atoll
Republic of Maldives"
461,Natural Surf Villa,Neel,Kaafu,Himmafushi,,4,8,9182996,6642024,"naturalsurfvilla@gmail.com
oceanbluegh@gmail.com",,"Ocean Blue Brother Maldives Pvt Ltd 
Ma. Sea Breez, 3rd Floor
Iskandharu Magu
Male', Republic of Maldives","Naaila Ibrahim Kalefaanu 
H. Neel Villa
Boduthakurufaanu Magu
Male', Republic of Maldives"
462,Natural Vibe House,Sunshine,Kaafu,Himmafushi,,7,14,9805533,,obbmshiraan@gmail.com,,"""Go Markets Maldives (SP)
Ali Shiraan
Rihiveli
Velidhoo, Noonu Atoll
Republic of Maldives""","Maimoona Ali 
Sunshine
Himmafushi, Kaafu Atoll
Republic of Maldives"
463,Nature Inn,Moscow,Kaafu,Himmafushi,,5,10,7912803,,natureinnmaldives@gmail.com,,"Hawwa Nazwa
H.Port Side 
Male', Republic of Maldives","Ahmed Shaheen
Moscow
Hinmafushi, Kaafu
Republic of Maldives"
464,Naza Lodge,Vehi Midhilimagu,Shaviyani,Bilehfahi,,4,8,7332229,,info@nazalodge.mv,www.nazalodge.mv,"Naza Maldives Pvt Ltd 
Gold Village
Bilehfahi, Shaviyani Atoll
Republic of Maldives","Ali Nasheed 
Gold Village
Bilehfahi, Shaviyani Atoll
Male', Republic of Maldives"
465,Nazaki Residences,"Mukurimagu Rayyithunge Guest House
Gan, Laamu Atoll
Republic of Maldives",Laamu,Gan,,16,32,"7958855
9660011",3312073,nazaki@nazaki.com; admin@nazaki.com,www. Nazakibeachhotel.com,"Nazaki Hotels & Resorts Pvt Ltd 
A3A Floor, M. Ahmadhee Aabaadhu 
Izzuddheen Magu
Male', Republic of Maldives","Mukurimagu Rayyithunge Guest House
Laamu Gan Councilge Idhaaraa
Gan, Laamu Atoll
Republic of Maldives"
466,NB Grand,"Hulhumale' Lot no. 11085, Kelaa Magu",Kaafu,Male',Hulhumale',14,28,9621111,,info@nb-group.net,,"NB Group Pvt Ltd 
Hulhumale', HM 11235 Valicia,
Rabarugas Magu-5
Male', Republic of Maldives","Ahmed Nafiz 
Hulhu Male', Goathi No 11085
Male', Republic of Maldives"
467,Nemo Inn,Keyogasdhoshuge,Alifu Dhaalu,Omadhoo,,5,10,9187555,,info@nemoinn.com,www.nemoinn.com,"Sea - Esta & Retreat (SP)
Ali Nafiu 
Keugasdhoshuge
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives","Gamariyyath Mohamed 
Keugasdhoshuge
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives"
468,New Breeze Thoddoo Inn,Ehfas,Alifu Alifu,Thoddoo,,7,14,9996681,,newbreezthoddhoo@hotmail.com,,"""Shazleen Mohamed                  
Billoorijehige
Thoddoo, Alifu Alifu Atoll
Republic of Maldives""","""Mariyam Niuma    
Billoorijehige
Thoddoo, Alifu Alifu Atoll
Republic of Maldives"""
469,New Moon Village,Ever Shine Jumhooree Magu,Alifu Alifu,Ukulhas,,5,10,7912443,,newmoonvillage@gmail.com,www.newmoonvillage.com,"Moosa Naseer 
Daisymaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldives","Moosa Naseer 
Daisymaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldives"
470,New town Inn,Hulhumale' Lot. No. 10488,Kaafu,Male',Hulhumale',10,20,3358696,,info@newtowninn.com,www.newtowninn.com,"Aqsa Line Investment Pvt Ltd
Falt 16.2.3
Hulhumale'
Republic of Maldives","Mariyam Didi 
S.Meedhoo, Dhuveydhaaruge 
Republic of Maldives"
471,Nihaali Maldives,NihaaliOrchid Magu,Baa,Kadarikilu,,10,20,"7788035
7788039",,nihaalimaldives@gmail.com,,"Nihaali Maldives Pvt. Ltd. 
Neel
Kudarikilu, Baa Atoll
Republic of Maldives","Dr. Ali Najeeb 
Neel
Kudarikilu, Baa Atoll
Republic of Maldives"
472,Nilandhe View,Vinavi,Faafu,Nilandhoo,,10,20,7782420,,khaleelqavmdv@gmail.com,,"Q.A.V Investment (SP-0377/2017)
Mohamed Khaleel (A049657)
Mirusmaage
Nilandhoo, Faafu Atoll
Republic of Maldives","Mohamed Khaleel (A049657)
Mirusmaage
F. Nilandhoo
Republic of Maldives"
473,Ninos,Roashan Villas,Kaafu,Guraidhoo,,4,8,9591724,,ninos.kguraidhoo@gmail.com,,"Ninos
Zidan Hassan 
Soafiyaa
Guraidhoo, Kaafu Atoll
Republic of Maldives","Abdul Gafoor Hassan 
Roashan Villa 
Guraidhoo, Kaafu Atoll
Republic of Maldives"
474,Nirili Villa,Nirili,Kaafu,Dhiffushi,,4,8,9901012,,nirilivilla@gmail.com,,"Black Brothers
Ahmed Huzam
Jaburoolumaage
Dhiffushi, Kaafu Atoll
Republic of Maldives","Abdul Rafiu
Galgaasge
Dhiffushi, Kaafu Atoll
Republic of Maldives"
475,Niru Isle Maldives,Niru,Kaafu,Gaafaru,,8,4,7999806,,niruislemaldives@gmail.com,,"Niru Core
Ajulan Rashad
Maafolheyge
Gaafaru, Kaafu Atoll
Republic of Maldives","Mohamed Rashad 
Shabunameege
Gaafaru, Kaafu Atoll
Republic of Maldives"
476,Niu Inn and Spa,Hulhumale' Lot. No. 10585,Kaafu,Male',Hulhumale’,8,16,9407777,,eurekamaldives@gmail.com,www.eurekamaldives.com,"Eureka Holding Pvt Ltd
Lot No: 10097
Hithigas Magu
Hulhumale'
Republic of Maldives","Abdul Razzaq
Thafthar no: 1922
Republic of Maldives"
477,Noah Beach House,"Zinma, Masodi Hingun",Kaafu,Himmafushi,,18,36,7750180,,info@noahbeachhouse.com,http://www.noahbeachhouse.com/,"Noah Beach House (SP)
Ilyas 
Hulhumale' Flat No 1-2-02
Male', Republic of Maldives","Ilyas 
Hulhumale' Flat No 1-2-02
Male', Republic of Maldives"
478,Nolhi Escape,Beauty Villa,Haa Dhaalu,Nolhivaranfaru,,5,10,"3339002
7782416",3339001,hello@nolhiescape.com,www.nolhiescape.com,"Boutique Island Escapes Pvt Ltd MA. Rangiri Rahdhebai Magu 
Male', Republic of Maldives","Ali Hussain 
Alifaru 
Hdh. Kulhudhuffushi Republic of Maldives"
479,Noo Moo,Hulhumale' Lot. No. 10075,Kaafu,Male',Hulhumale',12,24,3355548,,reservations@itawtravels.com,,"Noomoo Investments Pvt Ltd 
Lot No. 10107
Hulhumale' 
Republic of Maldives","Mariyam Moosa 
Sooraj GDH. Madaveli
Republic of Maldives"
480,Noomuraka Inn,Noomuraka,Alifu Dhaalu,Omadhoo,,4,8,7914628,,noomurakainn@gmail.com,www.noomurakainn.com,"Hassan Amir 
Funamaage, Miskki Magu
Adh. Omadhoo, Republic of Maldives","Mohamed Ibrahim 
Noovilaage, Adh. Omadhoo
Republic of Maldives"
481,Noovilu Suites,"""Heylhi & Hudhuhiri""",Alifu Dhaalu,Mahibadhoo,,6,12,9119938,,noovilusuites@gmail.com,www.noovilusuites.com,"""Hassan Mazin (A028614)                                     Rechchafaru, 
Adh.Mahibadhoo
Republic of Maldives""","""Faiza Ahmed (A028384)
Havaas
Adh. Mahibadhoo
Republic.com

Fauziyya Hussain (A028287)
Victory Villa
Adh. Mahibadhoo
Republic if Makdives"""
482,North Edge Inn,Amaazu,Shaviyani,Kanditheemu,,4,8,"7791254
9940909",,,,"Abdulla Zuhair 
Amaazu
Kanditheemu, Shaviyani Atoll","Abdulla Zuhair 
Amaazu
Kanditheemu, Shaviyani Atoll"
483,Ocean Beach Inn - Maldives,"Asseyri, Beach Road",Alifu Dhaalu,Hangnaameedhoo,,4,8,9710193,,book@oceanbeachmv.com,www.oceanbeachmv.com,"Haya Maldives (SP)
Fathuhulla Imran 
Asseyri
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives","Moosa Abdul Samad 
Asseyri
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives"
484,Ocean Cottage,Moon Star,Kaafu,Thulusdhoo,,5,10,7602232,,,,"Hussain Shahid
Dhongaa
Thulusdhoo, Kaafu Atoll
Republic of Maldives","Musthafa Ibrahim
Moon Star
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
485,Ocean Grand,"Crystal View, Hulhumale' Lot No. 10717, Kaani Magu",Kaafu,Male',Hulhumale',30,60,3355077 / 3355088,3355022,operations@oceangrandmaldives.com,www.oceangrandmaldives.com,"Samann Hotels Pvt Ltd 
H. Shabnam
Majeedhee Magu
Male', Republic of Maldives","Aminath Noora 
H. Shabnam
Majeedhee Magu
Male', Republic of Maldives"
486,Ocean Lilly Inn,"Lily, Sosun Magu",Alifu Dhaalu,Hangnaameedhoo,,8,16,7914643,,oceanlillyinn@gmail.com,,"Asda Maldives Pvt Ltd 
Lily
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives","Abdul Hameed Ali 
Bahaaruge
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives"
487,Ocean Pearl Maldives,"Irudheymaage, Mirihi Magu",Kaafu,Gulhi,,8,16,9866864,,zambeyz8818@gmail.com,,"Heart for Travelling Pvt Ltd 
Orchidge
Mahibadhoo, Alifu Dhaalu Atoll
Republic of Maldives","Shaheema Adam 
Irudheymaage
Gulhi, Kaafu Atoll
Republic of Maldives"
488,Ocean Retreat and Spa,Janavaree Hiyaa,Kaafu,Guraidhoo,,17,34,"7777137
7909137",7909137,sales@oceanretreatandspa.com,www.oceanretreatandspa.com,"Ismail Abdul Hameed 
Hulhumale' 10103
Republic of Maldives","Zahira Mohamed 
Ziyaaraiydhoshuge
Guraidhoo,  Kaafu Atoll
Republic of Maldives"
489,Ocean Vibes Guesthouse,Red Apple,Kaafu,Huraa,,7,14,9781010,9612345,beachheavenoffice@gmail.com,,"Beach Heaven Investment Pvt Ltd                                                                       
Beach House                                                                     
N. Velidhoo                                                                         
Republic of Maldives","Abdullah Ibrahim                                                               
Vaijeheyge                                                                              
K. Huraa                                                                                   
Republic of Maldives"
490,Ocean Villa,Ocean Villa,Kaafu,Dhiffushi,,4,8,9123456,,hello@oceanvilladhiffushi.com,www.oceanvilladhiffushi.com,"New Horizon Pvt Ltd (C-0774/2021)
Ocean Villa
Dhiffushi, Kaafu Atoll
Republic of Maldives","Ahmed Shahid (A079324)
Ocean Villa
Dhiffushi, Kaafu Atoll
Republic of Maldives"
491,Ocean Village Maldives,Rose Leen,Noonu,Holhudhoo,,3,6,9996892,,sales@roxainnmaldives.com,www.roxainnmaldives.com,"Ahmed Muslim 
Rosy Bank 
Holhudhoo, Noonu Atoll 
Republic  of Maldives","Ahmed Muslim 
Rosy Bank 
Holhudhoo, Noonu Atoll 
Republic  of Maldives"
492,Ocean Vista,West Pole,Kaafu,Maafushi,,5,10,7939050,,oceanvistamaldives@gmail.com,,"Abdul Ghanee 
Finifen Villa
Maafushi, Kaafu Atoll
Republic of Maldives","Saudiyya Ismail 
Jeymugasdhoshuge
Maafushi, Kaafu Atoll
Republic of Maldives"
493,Ocean Voice Beach,"1. New Hope, 2. Iyaathu, Abadhahfehi Magu",Haa Dhaalu,Nolhivaranfaru,,7,14,7771322,,trips.maldives@icloud.com,,"Ocean Voice Private Limited 
M. Ahuliha, 1st Floor
Haveeree Hingun
Male', Republic of Maldives","1. Owner of New Hope
Fathmath Nazleena 
Seereenaa Manzil, HDh. Nolhivaranfaru
Republic of Maldives
2. Owner of Iyaathu
Moosa Fathuhy 
Vaimatheege, HDh. Nolhivaranfaru 
Republic of Maldives"
494,Ocean Waves Inn,Lucky Home,Kaafu,Gaafaru,,3,6,7661881,,ocean.wavesinn@gmail.com,,"Beach Family Investment Pvt Ltd 
Lucky Home 
Gaafaru, Kaafu Atoll
Republic of Maldives","1. Mifzal Adam 
Guleynooranmaage 
Gaafaru, Kaafu Atoll
Republic of Maldives 
2. Ahmed NIsam 
Guleynooranmaage 
Gaafaru, Kaafu Atoll
Republic of Maldives 
3.  Yasir Adam 
Guleynooranmaage 
Gaafaru, Kaafu Atoll
Republic of Maldives 
4. Naushad Adam 
Guleynooranmaage 
Gaafaru, Kaafu Atoll
Republic of Maldives"
495,Ocean Way Guraidhoo,Finivilaage,Kaafu,Guraidhoo,,4,8,7527312,,oceanwayguraidhoo@gmail.com,,"Ocean Way Guraidhoo 
Ahmed Badheeu 
Musthareege, Funaadu
Fuvahmulah, Gnaviyani
Republic of Maldives","Khalid Mohamed
Finivilaage
Guraidhoo, Kaafu Atoll
Republic of Maldives"
496,Oceana Boutique,Altivailis,Kaafu,Maafushi,,7,14,7954445,,oceanaboutiquemaldives@gmail.com,,"Mohamed Nabeeh
Kahabuthila 
Maafushi, Kaafu Atoll","Mohamed Waseem
Red Sea
Maafushi, Kaafu Atoll"
497,Oceanic Inn,Hudhuveli,Gaafu Alifu,Kolamaafushi,,4,8,7788401,,sales.elegantstream@gmail.com,,"""Abdulla Shareef
Kolamaafushi, Gaafu Alifu Atoll
Republic of Maldives""","""Abdulla Shareef 
Kolamaafushi, Gaafu Alifu Atoll
Republic of Maldives"""
498,Oceano Beach Vashafaru,"Sandcastle, Salaahudheen Magu",Haa Alifu,Vashafaru,,5,10,9900915,,info.oceanbeach@gmail.com,www.oceanbeachvashafaru.com,"HM Maldives (SP)
Mohamed Haamy 
Chaandhaneege
Maaungoodhoo, Shaviyani Atoll
Republic of Maldives","Hussain Saamy 
Chaandhaneege
Maaungoodhoo, Shaviyani Atoll
Republic of Maldives"
499,Octave,Ma. Jambuma,Kaafu,Male',Machchagoalhi,14,28,3013030,3010697,reservations@hotel-octave-maldives.com,www.hotel-octave-maldives.com,"Impex Octave Pvt Ltd 
Ma. Jambuma
Kaaminee Magu
Male', Rep. of Maldives","Faheema Mohamed
Ma. Janbuma
Kaaminee Magu
Male', Republic of Maldives"
500,Odi Kamadhoo,Udhares,Baa,Kamadhoo,,4,8,7705683,,odimaldiveskamadhoo@gmail.com,www.odikamdhoo.com,"Ahmed Ihuthisaam (A309748)
Udhares Investment (SP03242018)
Ishaan, B. Kamadhoo
Republic of Maldives","Mohamed Nazeer (A045035)
Udhares, B. Kamadhoo
Republic of Maldives"
501,Off Day Inn,H. Hiriyaadhoo,Kaafu,Male',Henveiru,15,30,"3304838
7738484",3326454,info@offdaymaldives.com,www.offdaymaldives.com,"Off Day Maldives Pvt Ltd 
Ground Floor, H. Hiriyaadhoo
Filigas Higun
Male', Republic of Maldives","Abdul Razzg Hakeem 
H. Hiriyaadhoo
Filigas Magu
Male', Republic of Maldives"
502,Old Town Inn,Arutha,Kaafu,Gaafaru,,4,8,7775282 / 7786547,6641941,kalhoos@hotmail.com,,"Old Town Brohers Pvt Ltd 
Niyali 
Gaafaru , Kaafu Atoll 
Republic of Maldives","Ahmed Malik 
Niyami 
Gaafaru , Kaafu Atoll 
Republic of Maldives"
503,Olhumathi Inn,"Faza
Orchid Magu",Alifu Alifu,Ukulhas,,3,6,9933521,,info@olhumathi.com,olhumathi.com,"Faheem Ibrahim
Faza
Ukulhas, Alifu Alifu Atoll
Republic of Maldives","Faheem Ibrahim 
Faza
Ukulhas, Alifu Alifu Atoll
Republic of Maldives"
504,Olive Goidhoo,Olive/lilac,Baa,Goidhoo,,12,24,7991141,,sales@olivegoidhoo.mv,,"Citrus Pvt Ltd 
Shine Tree Building, Maafannu
Male', Republic of Maldives","1. Ibrahim Shifah
Maaragaali
Goidhoo, Baa Atoll
Republic of Maldives 
2. Ahmed Nazeer 
Lake
Goidhoo, Baa Atoll
Republic of Maldives"
505,Omadhoo Coral View Inn,Zeyvaru,Alifu Dhaalu,Omadhoo,,4,8,"7751175
7745155",,info@coralviewinn.com,,"Ahmed Riza 
Malthereyge
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives","Ahmed Riza
Malthereyge
Omadhoo, Alifu Dhaalu Atoll
Republic of Maldives"
506,Omadhoo Inn,Fathaha,Alifu Dhaalu,Omadhoo,,4,8,7779966,,info@omadhooinn.com,www.omadhooinn.com,"Mentha Maldives Pvt Ltd 
Fathaha
Omadhoo. Alif Dhaalu
Republic of Maldives","Moosa Abdulla
Fathaha
Omadhoo, Alif Dhaal
Republic of Maldives"
507,One On Inn,West Coast,Seenu,Maradhoo,,9,18,7774342,,1on.inhotel@gmail.com,,"Sheeha Company Pvt Ltd 
Hoadhadu. Last
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Abdul Gadir Moosa Didi                                                                                                                                   
West Coast
Maradhoo, Seenu Atoll
Republic of Maldives"
508,One The Island,Vaaru,Lhaviyani,Naifaru,,8,16,7789330,,kanmathee@gmail.com,,"Mohamed Ahmed Fulhu 
Kanmatheege No. 2
Naifaru, Lhaviyani Atoll 
Republic of Maldive","Abdulla Hameed 
Valuge
Naifaru, Lhaviyani Atoll
Republic of Maldives"
509,Orchid Inn,Kandhu,Faafu,Nilandhoo,,3,6,7979290,,a-jalyl@hotmail.com,,"Abdul Jaleel Ahmed
Orchidmaage
F. Nilandhoo
Republic of Maldives","Vista Company & Travel Services Pvt Ltd 
M. Rowville Building, 3rd Floor
Fareedhee Magu
Male', Republic of Maldives"
510,Orchid Inn Guest House,Kandhu,Faafu,Nilandhoo,,5,10,7979290,,jalyl.projects@gmail.com,,"Queen's Bakery 
Abdul Jaleel Ahmed 
Orchidmaage
Nilandhoo, Faafu Atoll
Republic of Maldives","Ibrahim Adam 
Dhanburuhdhoshuge
Nilandhoo, Faafu Atoll
Republic of Maldives"
511,Origami Inn,Thogbon Nooraanee Magu,Alifu Alifu,Himandhoo,,6,12,"9665650
9665626",,,,"Mohamed Azeez 
Carnation Villa
Himandhoo, Alifu Alifu Atoll
Republic of Maldives","Mohamed Azeez 
Carnation Villa
Himandhoo, Alifu Alifu Atoll
Republic of Maldives"
512,Orimas Retreat,"Haveylee, Gaamathi Magu, Thulusdhoo, Kaafu Atoll, Republic of Maldives",Kaafu,Thulusdhoo,,5,10,"7953307
9543307",,m.reehan@outlook.com,,"Coral Breeze Investment Pvt Ltd
M. Kokaahiyani, 3A
Shaheed Ali Hingun
Male', Republic of Maldives","Aminath Noora Mohamed 
Haveylee
Thulusdhoo, Kaafu Atoll
Republic of Maldives"
513,Ostrov,Palm Sade,Alifu Alifu,Ukulhas,,10,20,9989899,,info@ostrovmaldives.com,,"Ahmed Asad 
G. Male' Hiyaa 1.15.03
Male' Republic of Maldives","Latheefa Ibrahim 
Fusvilla
AA. Ukulhas
Republic of Maldives"
514,Paguro Beach Inn,Pink Palace,Alifu Alifu,Ukulhas,,19,38,7777221,3325097,info@paguromaldives.com,www.paguromaldives.com,"HM REAL ESTATE 
Hussain Musthaq 
Hulhumale Lot 11061
Male' , Republic of Maldives","Hussain Ashfaq
Pink Palace 
Ukulhas , Alifu Alifu AtollRepublic of Maldives"
515,Paguro Seaview,"Minivan Asseyri, Daisy Goalhi",Alifu Alifu,Bodufolhudhoo,,10,20,7777221,,info@paguromaldives.com,http://www.paguromaldives.com/,"HM Real Estate (SP)
Hussain Musthaq (A010903)
Hulhu Male' Goathi 11061 (Kinaaraa)
Male', Republic of Maldives","Ahmed Jaleel 
Raiyvilaage
Bodufolhudhoo, Alifu Alifu Atoll
Republic of Maldives"
516,Paguro Villa,Fasfiya,Alifu Alifu,Ukulhas,,7,14,7777221,,paguromaldives@gmail.com,www.paguromaldives.com,"HM Real Estate 
Hussain Musthaq 
Hulhu Male', Goathi 11061 (Kinaara)
Nirolhu Magu, Goalhi No. 20
Male', Republic of Maldives","Mareena Mohamed 
Faiyliyaage
Ukulhas, Alifu Alifu Atoll
Republic of Maldives"
